#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 03 20 06 50 211  1.3  2.2  0.01 99.00  8.47 999 1027.0  -2.3 999.0 999.0 99.0 99.00
2016 03 20 07 50 229  1.5  3.4  0.01 99.00  8.47 999 1026.7  -2.4 999.0 999.0 99.0 99.00
2016 03 20 08 50 220  1.4  2.6  0.01 99.00  8.42 999 1026.3  -2.7 999.0 999.0 99.0 99.00
2016 03 20 09 50 191  0.8  2.3  0.01 99.00  7.16 999 1026.3  -2.4 999.0 999.0 99.0 99.00
2016 03 20 10 50 320  2.6  4.4 99.00 99.00 99.00 999 1026.6  -1.9 999.0 999.0 99.0 99.00
2016 03 20 11 50 320  2.7  5.2  0.01 99.00  7.60 999 1026.8  -2.0 999.0 999.0 99.0 99.00
2016 03 20 12 50 320  2.4  4.5  0.01 99.00  7.14 999 1027.1  -2.5 999.0 999.0 99.0 99.00
2016 03 20 13 50 295  0.3  0.8  0.01 99.00  6.49 999 1027.4  -1.6 999.0 999.0 99.0 99.00
2016 03 20 14 50 329  2.0  4.0 99.00 99.00 99.00 999 1027.2  -1.0 999.0 999.0 99.0 99.00
2016 03 20 15 50 298  1.0  3.4  0.01 99.00  7.79 999 1027.0   0.4 999.0 999.0 99.0 99.00
2016 03 20 16 50 324  2.7  5.3  0.02 99.00  8.84 999 1026.9   1.3  -0.2 999.0 99.0 99.00
2016 03 20 17 50 325  2.2  4.9  0.01 99.00  7.92 999 1026.0   2.5   0.3 999.0 99.0 99.00
2016 03 20 18 50 318  2.2  5.1  0.01 99.00  8.15 999 1025.2   3.2   0.8 999.0 99.0 99.00
2016 03 20 19 50 266  2.6  6.0  0.01 99.00  8.37 999 1024.4   3.7   1.1 999.0 99.0 99.00
2016 03 20 20 50 286  1.7  5.4 99.00 99.00 99.00 999 1024.0   4.1   1.4 999.0 99.0 99.00
2016 03 20 21 50 317  2.4  5.4  0.01 99.00  8.54 999 1023.3   4.4   1.7 999.0 99.0 99.00
2016 03 20 22 50 315  1.3  4.2  0.01 99.00  8.11 999 1023.2   4.5   2.1 999.0 99.0 99.00
2016 03 20 23 50 320  1.5  3.0  0.01 99.00  7.95 999 1023.2   4.3   2.2 999.0 99.0 99.00
2016 03 21 00 50 256  0.9  1.4  0.01 99.00  8.04 999 1023.0   3.6   1.8 999.0 99.0 99.00
2016 03 21 01 50 174  0.0  0.4  0.02 99.00  9.36 999 1022.7   2.4   1.5 999.0 99.0 99.00
